cf1,start,end,cf2,start,end,set,clone?,type
tomcat/java/org/apache/naming/TransactionRef.java,15,27,tomcat/java/org/apache/naming/HandlerRef.java,36,48,orig,TP,T1
tomcat/java/org/apache/naming/TransactionRef.java,15,27,tomcat/java/org/apache/naming/ResourceEnvRef.java,12,24,orig,TP,T1
tomcat/java/org/apache/naming/TransactionRef.java,15,27,tomcat/java/org/apache/naming/ResourceLinkRef.java,20,32,orig,TP,T1
tomcat/java/org/apache/naming/TransactionRef.java,15,27,tomcat/java/org/apache/naming/ResourceRef.java,40,52,orig,TP,T1
tomcat/java/org/apache/naming/TransactionRef.java,15,27,tomcat/java/org/apache/naming/ServiceRef.java,62,74,orig,TP,T1
tomcat/java/org/apache/catalina/ant/BaseRedirectorHelperTask.java,101,113,tomcat/java/org/apache/catalina/ant/BaseRedirectorHelperTask.java,120,132,orig,TP,T2
tomcat/java/org/apache/catalina/connector/RequestFacade.java,177,188,tomcat/java/org/apache/catalina/connector/RequestFacade.java,352,363,orig,TP,T2
tomcat/java/org/apache/catalina/core/StandardWrapper.java,294,304,tomcat/java/org/apache/catalina/core/StandardWrapper.java,619,629,orig,TP,T2
tomcat/java/org/apache/catalina/valves/AbstractAccessLogValve.java,352,364,tomcat/java/org/apache/catalina/valves/AbstractAccessLogValve.java,395,407,orig,TP,T2
tomcat/java/org/apache/el/parser/ELParser.java,88,103,tomcat/java/org/apache/el/parser/ELParser.java,2048,2063,orig,TP,T2
tomcat/java/org/apache/el/parser/ELParser.java,88,103,tomcat/java/org/apache/el/parser/ELParser.java,2187,2202,orig,TP,T2
tomcat/java/org/apache/el/parser/ELParser.java,88,103,tomcat/java/org/apache/el/parser/ELParser.java,2203,2218,orig,TP,T2
tomcat/java/org/apache/el/parser/ELParser.java,88,103,tomcat/java/org/apache/el/parser/ELParser.java,2219,2234,orig,TP,T2
